Region,Age,Year,Population
1,0,1968,19736
1,0,1969,19351
1,0,1970,20840
1,0,1971,22142
1,0,1972,22099
1,0,1973,20803
1,0,1974,20508
1,0,1975,18994
1,0,1976,18510
1,0,1977,17873
1,0,1978,17563
1,0,1979,18399
1,0,1980,19015
1,0,1981,18109
1,0,1982,17925
1,0,1983,17605
1,0,1984,18368
1,0,1985,19301
1,0,1986,20565
1,0,1987,21394
1,0,1988,22969
1,0,1989,23673
1,0,1990,25173
1,0,1991,24749
1,0,1992,25442
1,0,1993,24654
1,0,1994,24313
1,0,1995,22486
1,0,1996,21262
1,0,1997,20572
1,0,1998,20816
1,0,1999,20829
1,0,2000,21817
1,0,2001,22507
1,0,2002,23908
1,0,2003,24832
1,0,2004,25640
1,0,2005,25735
1,0,2006,26942
1,0,2007,27342
1,0,2008,27908
1,0,2009,28527
1,0,2010,29578
1,0,2011,28583
1,0,2012,28886
1,0,2013,29512
1,0,2014,29607
1,0,2015,29430
1,0,2016,29626
1,0,2017,28938
1,0,2018,28798
1,0,2019,28474
1,0,2020,28384
1,0,2021,28880
1,0,2022,26271
1,0,2023,25802
1,1,1968,21741
1,1,1969,20242
1,1,1970,19771
1,1,1971,20818
1,1,1972,22055
1,1,1973,21584
1,1,1974,20552
1,1,1975,20344
1,1,1976,18948
1,1,1977,18473
1,1,1978,17803
1,1,1979,17416
1,1,1980,18163
1,1,1981,18921
1,1,1982,18077
1,1,1983,17806
1,1,1984,17556
1,1,1985,18411
1,1,1986,19370
1,1,1987,20470
1,1,1988,21133
1,1,1989,22578
1,1,1990,23342
1,1,1991,24927
1,1,1992,24768
1,1,1993,25420
1,1,1994,24734
1,1,1995,24374
1,1,1996,22501
1,1,1997,21369
1,1,1998,20606
1,1,1999,20875
1,1,2000,20855
1,1,2001,21744
1,1,2002,22439
1,1,2003,23837
1,1,2004,24785
1,1,2005,25638
1,1,2006,25827
1,1,2007,27011
1,1,2008,27528
1,1,2009,28062
1,1,2010,28734
1,1,2011,29750
1,1,2012,28667
1,1,2013,28977
1,1,2014,29483
1,1,2015,29761
1,1,2016,29599
1,1,2017,29859
1,1,2018,29201
1,1,2019,29033
1,1,2020,28417
1,1,2021,28288
1,1,2022,28872
1,1,2023,26337
1,2,1968,21824
1,2,1969,22071
1,2,1970,20477
1,2,1971,19670
1,2,1972,20515
1,2,1973,21710
1,2,1974,21218
1,2,1975,20323
1,2,1976,20304
1,2,1977,18929
1,2,1978,18335
1,2,1979,17623
1,2,1980,17120
1,2,1981,17980
1,2,1982,18877
1,2,1983,17952
1,2,1984,17767
1,2,1985,17550
1,2,1986,18360
1,2,1987,19244
1,2,1988,20163
1,2,1989,20786
1,2,1990,22141
1,2,1991,23027
1,2,1992,24839
1,2,1993,24687
1,2,1994,25369
1,2,1995,24670
1,2,1996,24422
1,2,1997,22488
1,2,1998,21346
1,2,1999,20605
1,2,2000,20768
1,2,2001,20677
1,2,2002,21557
1,2,2003,22251
1,2,2004,23639
1,2,2005,24659
1,2,2006,25611
1,2,2007,25841
1,2,2008,27023
1,2,2009,27688
1,2,2010,28270
1,2,2011,28907
1,2,2012,29819
1,2,2013,28801
1,2,2014,29018
1,2,2015,29534
1,2,2016,29732
1,2,2017,29682
1,2,2018,30051
1,2,2019,29268
1,2,2020,28799
1,2,2021,28352
1,2,2022,28272
1,2,2023,28718
1,3,1968,22001
1,3,1969,22125
1,3,1970,22203
1,3,1971,20341
1,3,1972,19351
1,3,1973,20206
1,3,1974,21343
1,3,1975,20958
1,3,1976,20240
1,3,1977,20307
1,3,1978,18807
1,3,1979,18170
1,3,1980,17388
1,3,1981,17013
1,3,1982,17904
1,3,1983,18760
1,3,1984,17868
1,3,1985,17776
1,3,1986,17566
1,3,1987,18226
1,3,1988,19065
1,3,1989,19944
1,3,1990,20433
1,3,1991,21955
1,3,1992,22986
1,3,1993,24806
1,3,1994,24782
1,3,1995,25278
1,3,1996,24615
1,3,1997,24457
1,3,1998,22433
1,3,1999,21341
1,3,2000,20544
1,3,2001,20621
1,3,2002,20535
1,3,2003,21371
1,3,2004,22031
1,3,2005,23494
1,3,2006,24616
1,3,2007,25618
1,3,2008,25896
1,3,2009,27135
1,3,2010,27719
1,3,2011,28342
1,3,2012,28882
1,3,2013,29945
1,3,2014,28829
1,3,2015,29043
1,3,2016,29583
1,3,2017,29912
1,3,2018,29764
1,3,2019,30116
1,3,2020,29060
1,3,2021,28522
1,3,2022,28268
1,3,2023,28136
1,4,1968,22342
1,4,1969,22228
1,4,1970,22282
1,4,1971,22055
1,4,1972,19980
1,4,1973,19072
1,4,1974,19907
1,4,1975,21120
1,4,1976,20859
1,4,1977,20189
1,4,1978,20159
1,4,1979,18620
1,4,1980,17981
1,4,1981,17207
1,4,1982,16942
1,4,1983,17806
1,4,1984,18727
1,4,1985,17852
1,4,1986,17801
1,4,1987,17499
1,4,1988,18042
1,4,1989,18819
1,4,1990,19728
1,4,1991,20299
1,4,1992,21918
1,4,1993,22977
1,4,1994,24876
1,4,1995,24695
1,4,1996,25251
1,4,1997,24560
1,4,1998,24402
1,4,1999,22356
1,4,2000,21338
1,4,2001,20476
1,4,2002,20549
1,4,2003,20426
1,4,2004,21268
1,4,2005,21922
1,4,2006,23491
1,4,2007,24634
1,4,2008,25648
1,4,2009,25924
1,4,2010,27214
1,4,2011,27812
1,4,2012,28386
1,4,2013,28893
1,4,2014,30017
1,4,2015,28921
1,4,2016,29098
1,4,2017,29709
1,4,2018,30080
1,4,2019,29822
1,4,2020,29928
1,4,2021,28968
1,4,2022,28407
1,4,2023,28110
1,5,1968,20382
1,5,1969,22668
1,5,1970,22345
1,5,1971,22167
1,5,1972,21693
1,5,1973,19635
1,5,1974,18874
1,5,1975,19770
1,5,1976,21063
1,5,1977,20753
1,5,1978,20037
1,5,1979,20000
1,5,1980,18378
1,5,1981,17885
1,5,1982,17217
1,5,1983,16883
1,5,1984,17785
1,5,1985,18791
1,5,1986,17898
1,5,1987,17745
1,5,1988,17400
1,5,1989,17910
1,5,1990,18630
1,5,1991,19575
1,5,1992,20316
1,5,1993,21956
1,5,1994,23100
1,5,1995,24821
1,5,1996,24654
1,5,1997,25291
1,5,1998,24560
1,5,1999,24359
1,5,2000,22393
1,5,2001,21234
1,5,2002,20373
1,5,2003,20478
1,5,2004,20296
1,5,2005,21211
1,5,2006,21962
1,5,2007,23548
1,5,2008,24660
1,5,2009,25786
1,5,2010,26061
1,5,2011,27369
1,5,2012,27905
1,5,2013,28519
1,5,2014,28921
1,5,2015,30027
1,5,2016,29019
1,5,2017,29267
1,5,2018,29837
1,5,2019,30181
1,5,2020,29608
1,5,2021,29741
1,5,2022,28843
1,5,2023,28251
1,6,1968,19248
1,6,1969,20520
1,6,1970,22745
1,6,1971,22221
1,6,1972,21881
1,6,1973,21396
1,6,1974,19393
1,6,1975,18671
1,6,1976,19670
1,6,1977,21005
1,6,1978,20536
1,6,1979,19815
1,6,1980,19763
1,6,1981,18264
1,6,1982,17819
1,6,1983,17182
1,6,1984,16832
1,6,1985,17784
1,6,1986,18790
1,6,1987,17928
1,6,1988,17697
1,6,1989,17264
1,6,1990,17742
1,6,1991,18541
1,6,1992,19599
1,6,1993,20349
1,6,1994,22055
1,6,1995,23152
